id	score	topic	answer	problem_preview
16	0.777778	geometry	2978	A convex polyhedron \(P\) with 2024 faces is given, and it is known that each face is either a triangle or a quadrilateral. If the total number of edges in \(P\) is 5000, find the number of vertices in \(P\).
17	0.666667	number_theory	1	Find the number of ordered triples $(a, b, c)$ of positive integers such that $a, b,$ and $c$ are pairwise coprime, and $abc$ divides $a^4 + b^4 + c^4$.
18	0.555556	geometry	\left\lceil \frac{n}{r} \right\rceil	In the plane, let \( P \) be a set of \( n \) points, no three of which are collinear. Define a "colorful convex hull" as a convex polygon that passes through at least one point of \( P \) of each color. Suppose \( P \) is colored such tha...
19	0.777778	geometry	100	A sequence of positive integers \( a_1, a_2, \ldots, a_n \) has the property that for any positive integer \( k \), the sum of the first \( k \) terms is a perfect square. If \( a_1 = 1 \) and \( a_{100} = 200 \), find the smallest possibl...
20	0.666667	number_theory	1	Let $P(x) = x^3 - 6x^2 + 11x - 6$ be a polynomial with integer coefficients. Suppose $a, b,$ and $c$ are the roots of $P(x)$. Define a sequence $(x_n)$ by $x_1 = a + b + c$ and $x_{n+1} = x_n^2 - 2x_n + 2$ for $n \geq 1$. Find the smallest...
21	0.333333	number_theory	0	Let $P(x) = x^3 + ax^2 + bx + c$ be a cubic polynomial with real coefficients. Suppose $P(1) = P(2) = P(3) = P(4) = P(5) = P(6) = 0$. If $P(7) = k$, where $k$ is a positive integer, find the value of $k$.
22	0.666667	number_theory	3	Find all prime numbers \( p \) such that the equation \( x^3 - px^2 + (p+1)x - 1 = 0 \) has three integer roots.
23	0.555556	geometry	15	Let \( ABCD \) be a convex quadrilateral with \( AB = a \), \( BC = b \), \( CD = c \), and \( DA = d \). Suppose that the diagonals \( AC \) and \( BD \) intersect at point \( E \) such that \( AE \) and \( CE \) are equal, as are \( BE \...
24	0.666667	geometry	\frac{2}{3}	In the complex plane, let $A,$ $B,$ and $C$ be points corresponding to the complex numbers $a,$ $b,$ and $c$ respectively. Suppose $|a| = |b| = |c| = 1$ and $a + b + c = 0.$ If the circle with diameter $AB$ intersects the circumcircle of $...
25	0.777778	number_theory	p	Given that \( p \) is a prime number, find all positive integers \( n \) for which the number of integers \( 0 \le k < n \) satisfying the congruence \( \binom{n}{k} \equiv 0 \pmod{p^2} \) is exactly \( n - \varphi(n) \), where \( \varphi ...
26	0.777778	algebra	\frac{5}{36}	Let $f(x)$ be a continuous function on the interval $[0, 1]$ such that \[ \int_0^1 x^2 f(x) \,dx = \frac{1}{6}. \] Find the minimum value of \[ \int_0^1 (f(x))^2 \,dx. \]
27	0.666667	number_theory	1	Find the smallest positive integer \( n \) such that for all positive integers \( k \leq n \), the polynomial \( P(x) = x^3 - kx^2 + kx - 1 \) has at least one integer root.
28	0.444444	geometry	25	In a right triangle ABC, with angle C being the right angle, the lengths of the legs AB and BC are integers. A circle is inscribed in triangle ABC, touching AB at D, BC at E, and AC at F. If the radius of the inscribed circle is 5, and the...
29	0.555556	geometry	6	Find the smallest positive integer \( n \) such that the polynomial \( P(x) = x^3 - 3x + n \) has three distinct integer roots, and the sum of the squares of these roots is exactly 14.
30	0.555556	number_theory	1	In a mystical village, there are seven distinct types of magical flowers, each with a unique property that can be represented by a prime number. One day, the village elder decides to create a magical spell by selecting a subset of these fl...
31	0.555556	number_theory	1	Let \( S \) be the set of all positive integers that can be represented as the sum of two or more consecutive positive integers. Find the smallest positive integer that is not in \( S \).
32	0.444444	geometry	3	Find all positive integers \( n \) such that there exists a set of \( n \) points in the plane, no three of which are collinear, with the following property: for any two distinct points \( A \) and \( B \) in the set, there is a point \( C...
33	0.333333	geometry	\frac{1}{6}	In a plane, let \(P\) be a point inside a square \(ABCD\) with side length 1. Let \(E\) and \(F\) be the midpoints of \(AB\) and \(CD\) respectively, and let \(G\) be the intersection of lines \(AE\) and \(CF\). If the area of triangle \(B...
34	0.555556	geometry	0	In the complex plane, consider the regular 2023-gon $P_1P_2\ldots P_{2023}$ with vertices $P_k = \cos\left(\frac{2\pi k}{2023}\right) + i\sin\left(\frac{2\pi k}{2023}\right)$ for $k = 1, 2, \ldots, 2023$. A complex number $z$ is chosen uni...
35	0.444444	number_theory	2	Consider a sequence of integers \( a_1, a_2, a_3, \ldots, a_{2023} \) where each \( a_i \) is either 1 or -1. Define a function \( S_k \) as the sum of the first \( k \) terms of the sequence, i.e., \( S_k = a_1 + a_2 + \cdots + a_k \) for...
36	0.444444	number_theory	3	Let $S$ be the set of all ordered triples $(a,b,c)$ of positive integers such that $a \leq b \leq c$ and $a + b + c = 2023$. Find the number of distinct prime factors of the sum of the elements in all ordered triples in $S$.
37	0.555556	geometry	0	Find all prime numbers \(p\) and \(q\) such that both \(p^2 + 8pq + q^2\) and \(p^2 - 8pq + q^2\) are perfect squares. Determine the sum of all such distinct prime pairs \((p, q)\).
38	0.444444	algebra	2	Consider a 3x3 grid where each cell contains either a 0 or a 1. A configuration of this grid is considered valid if it satisfies the following condition: for every pair of adjacent cells (sharing a side), the product of their values is equ...
39	0.333333	geometry	\left(\frac{3}{4}, 1, \frac{5}{4}\right)	In a tetrahedron $ABCD$, the edges $AB$, $AC$, and $AD$ are pairwise perpendicular, and they have lengths 3, 4, and 5 respectively. A point $P$ inside the tetrahedron is such that the sum of its distances to the faces of the tetrahedron is...
40	0.555556	geometry	90^\circ	Let \( A \), \( B \), and \( C \) be the angles of a triangle such that \( A + B + C = 180^\circ \). Given the equation \[ \cos A \cos B + \cos B \cos C + \cos C \cos A = \frac{1}{2}, \] determine the measure of angle \( A \).
41	0.444444	number_theory	1	Find the smallest positive integer \( n \) such that there exists a function \( f: \mathbb{Z}^+ \to \mathbb{Z}^+ \) satisfying the following conditions for all positive integers \( a \) and \( b \): 1. \( f(a + b) = f(a) + f(b) - 2f(ab) \)...
42	0.555556	number_theory	3	Find the smallest positive integer \( n \) such that \( 2^n + 1 \) is divisible by \( n \).
43	0.333333	geometry	4	In triangle $ABC$, point $D$ lies on side $BC$ such that $AD$ is the angle bisector of $\angle BAC$. Let $E$ be the foot of the perpendicular from $D$ to $AB$, and let $F$ be the foot of the perpendicular from $D$ to $AC$. Given that $BD =...
44	0.333333	number_theory	255	Find the number of ordered triples $(a,b,c)$ of positive integers such that $a+b+c=100$, where $a$ is odd, $b$ is even, and $c$ is divisible by 5.
45	0.444444	geometry	10	In a certain country, there are \( n \) cities connected by a network of roads, where each road connects two distinct cities. The government decides to color each road either red or blue, such that no three cities form a triangle with all ...
46	0.333333	number_theory	3	Find all positive integers \( n \) for which the equation \[ x^2 + y^2 + z^2 = n(x + y + z) \] has an infinite number of solutions in integers \( x, y, z \) such that \( x, y, z \) are not all zero.
47	0.333333	number_theory	(0, 1), (1, 0), (1, 3), (2, -1), (-1, -1)	Find all integer solutions to the equation \(x^3 - 3xy^2 + y^3 = 1\) where \(x\) and \(y\) are integers.
48	0.444444	geometry	0	Let \( S \) be the set of all triangles \( ABC \) in the plane with integer side lengths \( AB, BC, \) and \( CA \) such that the perimeter of \( ABC \) is less than or equal to 2023. Find the sum of the areas of all triangles \( ABC \) in...
49	0.777778	geometry	2	Find the smallest positive integer \( n \) such that the sum of the first \( n \) terms of the sequence defined by \( a_k = k^2 - 3k + 4 \) is a perfect square.
50	0.444444	geometry	20	In the triangular grid shown below, each small triangle has an area of 1 square unit. A path is defined as a sequence of moves from one vertex to another, where each move must be along the edge of a triangle and the path must not revisit a...
51	0.333333	combinatorics	\frac{1}{8}	In the three-dimensional space, a sphere is inscribed in a cube whose edges are of length 1. A point P is chosen uniformly at random within the cube. What is the probability that the distance from P to the center of the sphere is less than...
52	0.666667	number_theory	1	Find all positive integers \( n \) such that the polynomial \( P(x) = x^n + 2x^{n-1} + 3x^{n-2} + \cdots + (n-1)x + n \) has a root that is a rational number.
53	0.444444	number_theory	74	Let \( P(x) \) be a polynomial of degree 4 with integer coefficients such that \( P(1) = 10 \), \( P(2) = 20 \), \( P(3) = 30 \), and \( P(4) = 40 \). Find the smallest possible value of \( P(5) \).
54	0.666667	geometry	2	In triangle \( ABC \), point \( D \) lies on side \( BC \) such that \( BD:DC = 2:1 \). Point \( E \) lies on side \( AC \) such that \( AE:EC = 1:2 \). The line segment \( DE \) intersects the circumcircle of triangle \( ABC \) again at p...
55	0.333333	number_theory	1000	Let \( f(n) \) be the number of ways to write \( n \) as a sum of positive integers where the summands are in non-decreasing order and the first term is at least 2. For example, \( f(3) = 1 \) because the only way is \( 3 = 2 + 1 \). Find ...
56	0.444444	number_theory	675	Let \( S \) be the set of all positive integers. A subset \( T \) of \( S \) is called *pretty* if for every pair of distinct elements \( a, b \in T \), the sum \( a + b \) is not divisible by 3. Find the largest possible number of element...
57	0.555556	number_theory	503	What is the largest integer $n$ such that there exists an integer $k$ for which the polynomial $P(x) = x^4 + kx^3 + 2013x^2 - 1006x + 503$ can be expressed as the product of two non-constant polynomials with integer coefficients, and $n$ d...
58	0.500000	number_theory	\frac{p-1}{2}	Let \( p \) be a prime number greater than 3, and let \( \mathbb{F}_p \) be the finite field with \( p \) elements. Consider the polynomial \( f(x) = x^3 - x + 1 \) over \( \mathbb{F}_p \). Determine the number of distinct elements \( a \i...
59	0.333333	number_theory	24	Find the smallest positive integer \( n \) such that the equation \( x^2 + y^2 + z^2 + w^2 = n \) has exactly 24 solutions in integers \( (x, y, z, w) \), where the order of \( x, y, z, w \) does not matter.
60	0.555556	geometry	10	Let \( S \) be a set of 2023 distinct positive integers, none of which are perfect squares or perfect cubes. Prove that there exists a subset \( T \subseteq S \) of size 10, such that the product of any two distinct elements of \( T \) is ...
61	0.777778	geometry	6	In the coordinate plane, consider an equilateral triangle \( ABC \) with side length \( s \) and one vertex at the origin \( A(0,0) \). Let \( D \) be the midpoint of side \( BC \), and let \( E \) be a point on the extension of \( AD \) s...
62	0.555556	geometry	2M	In the plane, a set of points \( P \) is chosen such that no three points are collinear. For each pair of points \( (A, B) \) in \( P \), let \( f(A, B) \) be the minimum distance between a point in \( P \) and the line segment \( AB \). D...
63	0.444444	number_theory	3	Find all positive integers \( n \) such that the equation \[ x^3 + y^3 + z^3 = nxyz \] has a solution in positive integers \( x, y, z \) where \( x, y, z \) are pairwise coprime.
64	0.555556	geometry	O	Let $ABC$ be a triangle with circumcircle $\Gamma$. Let $D$ be a point on the minor arc $AB$ of $\Gamma$. The line through $D$ parallel to $BC$ intersects the line $AC$ at $E$. The line through $D$ parallel to $AC$ intersects the line $BC$...
65	0.777778	geometry	126	A convex hexagon has internal angles that are in arithmetic progression, with the smallest angle being 120 degrees and the largest angle being 150 degrees. Find the measure of the smallest angle of the hexagon that is not an endpoint of th...
66	0.555556	number_theory	1	Find all positive integers \( n \) such that there exists a function \( f : \mathbb{Z} \to \{1, 2, \ldots, n\} \) satisfying the following conditions: 1. For all integers \( a \) and \( b \), \( f(a + b) = f(ab) \). 2. The function \( f \)...
67	0.333333	geometry	48	Let $ABC$ be an acute triangle with circumcenter $O$ and orthocenter $H$. Points $D$ and $E$ are chosen on sides $AB$ and $AC$ respectively such that $\angle AOD = \angle AOE = 90^\circ$. Let $P$ be the intersection of lines $DE$ and $BC$....
68	0.555556	geometry	1	In a finite-dimensional vector space \( V \) over the field of real numbers \( \mathbb{R} \), let \( T: V \to V \) be a linear transformation. Suppose there exists a basis \( \mathcal{B} = \{v_1, v_2, \ldots, v_n\} \) of \( V \) such that ...
69	0.444444	number_theory	x	Let \( p \) be a prime number greater than 3. Consider the polynomial \( P(x) = x^p + x^2 + 1 \). Prove that there exists at least one integer \( x \) such that \( P(x) \) is divisible by \( p^2 \).
70	0.777778	algebra	f(x) = 0	Let \( f: \mathbb{R} \to \mathbb{R} \) be a continuous function such that \( f(x) = f(2x) + f(x-1) \) for all \( x \in \mathbb{R} \). Prove that \( f(x) = 0 \) for all \( x \in \mathbb{R} \). Find all such functions \( f \).
71	0.333333	geometry	1, 9	Find all positive integers \( n \) such that \( n \) divides \( 2^n + 1 \) and \( n \) is a perfect square.
72	0.555556	number_theory	11	What is the sum of the digits of the largest three-digit number \( N \) such that \( N \) is divisible by 11 and the sum of its digits is equal to 11?
73	0.444444	logic_puzzle	43680	Consider a 4x4 grid, with four rows and four columns. Each cell in the grid can be either black or white. A configuration of the grid is called "unique" if there are no two distinct rows that have the same pattern of black and white cells,...
74	0.333333	geometry	2	In the complex plane, consider three points \(A\), \(B\), and \(C\) such that \(A = 1 + i\), \(B = -1 - i\), and \(C\) lies on the unit circle. If \(C\) is chosen so that the area of triangle \(ABC\) is maximized, determine the coordinates...
75	0.444444	geometry	\frac{2A}{3\sqrt{3}}	A regular hexagon is inscribed in a circle of radius \(r\). Each side of the hexagon is then divided into three equal segments. Triangles are constructed outside the hexagon such that each triangle's base is one of these segments and its a...
76	0.444444	number_theory	1	Find all positive integers \( n \) such that there exists a polynomial \( P(x) \) with integer coefficients satisfying \[ P(1) = n, \quad P(2) = 2n, \quad P(3) = 3n, \quad \text{and} \quad P(4) = 4n. \]
77	0.555556	number_theory	7	What is the minimum number of positive integers less than 2023 that must be selected so that some three of them have a sum that is a multiple of 3?
78	0.555556	geometry	0	Find all positive integers \( n \) such that \( n^3 + 2n^2 + 2n + 1 \) is a perfect square.
79	0.333333	number_theory	2	A set of integers \( S \) is defined such that for every \( n \in S \), the set \( S \) satisfies the property that \( n + k \) is also in \( S \) for all \( k \in S \) where \( n + k < 2024 \). Given that the sum of all elements in \( S \...
80	0.444444	geometry	-15, -6, 1, 10	Find all integers $n$ such that $n^2 + 5n + 19$ is the square of a prime number.
81	0.333333	number_theory	22	Find the smallest positive integer \( n \) such that the number of divisors of \( n \) is equal to the sum of the digits of \( n \), and \( n \) can be expressed as the sum of two positive integers in exactly three different ways where eac...
82	0.333333	geometry	4	In a triangular park, three paths form the sides of the triangle. The length of the path from A to B is 15 meters, from B to C is 20 meters, and from C to A is 25 meters. A fountain is placed at the centroid of the triangle. Calculate the ...
83	0.444444	algebra	\sqrt{\frac{2}{3}} s	In a regular tetrahedron, the vertices are labeled A, B, C, and D. A point P is chosen inside the tetrahedron such that the sum of the distances from P to the faces is a constant. If the side length of the tetrahedron is \( s \), find the ...
84	0.333333	geometry	\frac{1}{3}	Let \( S \) be the set of all non-degenerate triangles with integer side lengths and a perimeter of 12. Determine the number of such triangles \( S \) that have an area that is an integer, and express your answer as a fraction of the total...
85	0.555556	geometry	s	Given a regular hexagon $ABCDEF$ with side length $s$, let $P$ be the point inside the hexagon such that $\angle APB = 90^\circ$ and $\angle CPB = 120^\circ$. Find the length of segment $BP$ in terms of $s$.
86	0.666667	number_theory	(1, 2)	Find all pairs of positive integers \((a, b)\) such that \(a^2 + b^2 = 3ab - 1\) and \(a < b\).
87	0.666667	number_theory	1	What is the smallest positive integer $n$ such that $n$ divides the number of ways to arrange 10 distinct books on a shelf, where the books are in such a configuration that no two adjacent books are of the same color if the books are color...
88	0.333333	geometry	0	Find all positive integers \( n \) such that the number \( n^2 + 3n + 2 \) is a perfect square.
89	0.444444	combinatorics	2	In the mystical land of Symmetryville, there exists a peculiar tree known as the Graph Tree. Each day, the tree's leaves rearrange themselves in a unique configuration, forming a graph with $2n$ vertices. The challenge of Symmetryville is ...
90	0.555556	number_theory	0	Find the number of ordered quadruples $(a, b, c, d)$ of positive integers such that $a^2 + b^2 + c^2 + d^2 = 2023$ and $a, b, c, d$ are pairwise relatively prime.
91	0.555556	geometry	14	In the coordinate plane, let $A(0,0)$, $B(14,0)$, and $C(14,14)$ be the vertices of a right triangle $ABC$. A point $P(x,y)$ inside the triangle satisfies the condition that the sum of its distances to the three vertices is minimized. Find...
92	0.500000	combinatorics	7	A regular octahedron has its vertices labeled with the numbers 1 through 8. The octahedron is rotated in space, and you are allowed to rotate it around any of its three axes of symmetry (one through the centers of opposite faces and two th...
93	0.444444	geometry	\frac{\sqrt{6}}{12}	A regular tetrahedron with side length 2 is divided into four congruent pyramids, each having a base that is an equilateral triangle of side length 1. One pyramid is removed, leaving three pyramids. The remaining pyramids are then filled w...
94	0.444444	algebra	0	设 \(f(x)\) 是一个定义在实数集上的连续函数，满足以下性质： 对于所有的 \(x \in \mathbb{R}\)，有 \(f(x) + f(-x) = 2\) 且 \(f(x) > 0\)。 已知 \(f(0) = 1\) 并且 \(f(x)\) 在 \(x=0\) 处可导。 求证：存在唯一一个正实数 \(a\) 使得 \(f(a) = a\)，并计算 \(f'(0)\)。
95	0.666667	number_theory	6	Find all positive integers \( n \) such that the sum of the divisors of \( n \) (including 1 and \( n \) itself) is equal to \( n + \tau(n) + 2 \), where \( \tau(n) \) denotes the number of divisors of \( n \).
96	0.555556	number_theory	2024	A function \( f \) is defined for all positive integers such that \( f(1) = 1 \) and for \( n > 1 \), \( f(n) \) is the smallest integer greater than \( f(n-1) \) that is not a divisor of \( n \). Find the value of \( f(2023) \).
97	0.666667	number_theory	1	In the infinite sequence \(a_n\), where \(a_1 = 1\) and \(a_{n+1} = \frac{1}{2}(a_n + \frac{1}{a_n})\) for all \(n \geq 1\), find the smallest positive integer \(k\) such that \(a_k\) is within \(0.01\) of \(a_{k+1}\). Additionally, prove ...
98	0.777778	number_theory	1	Consider a sequence of positive integers \(a_1, a_2, a_3, \ldots, a_n\) such that each term after the first is the least common multiple (LCM) of the preceding terms. If \(a_1 = 2\) and \(a_{10} = 200\), find the number of possible values ...
99	0.555556	number_theory	2023	Consider a sequence of positive integers \(a_1, a_2, a_3, \ldots\) where \(a_1 = 1\) and for all positive integers \(n\), \(a_{n+1}\) is the smallest integer greater than \(a_n\) such that the set \(\{a_1, a_2, \ldots, a_{n+1}\}\) does not...
100	0.555556	algebra	3^{100} - 1	Let \( f: \mathbb{R} \to \mathbb{R} \) be a continuous function such that for all real numbers \( x \) and \( y \), \[ f(x+y) = f(x) \cdot f(y) + f(x) + f(y). \] Given that \( f(1) = 2 \), find the value of \( f(100) \).
101	0.333333	geometry	25\sqrt{3}	Let $ABC$ be an isosceles triangle with $AB = AC$. The angle bisectors of $\angle BAC$ and $\angle ABC$ intersect at point $D$. If $AD = 2BD$ and $BC = 10$, find the area of triangle $ABC$.
102	0.555556	number_theory	\frac{5}{3}	Find all real numbers \( x \) such that the expression \( \sqrt{x - \sqrt{x + 1}} + \sqrt{x + \sqrt{x + 1}} \) is an integer. Justify your answer.
103	0.444444	geometry	6	In triangle \(ABC\), the angles satisfy \(\angle A + \angle B = 3\angle C\). Let \(D\) be a point on side \(BC\) such that \(\angle BAD = \angle CAD\). The circumcircle of \(\triangle ABD\) intersects line \(AC\) again at point \(E\). If \...
104	0.333333	number_theory	6	Let \( f(x) \) be a polynomial of degree 4 with integer coefficients such that \( f(1) = 10 \), \( f(2) = 20 \), and \( f(3) = 30 \). Determine the sum of the roots of the equation \( f(x) = 0 \). Given that the polynomial \( f(x) \) satis...
105	0.444444	combinatorics	2	In a game, a player starts with a single token and can perform the following moves: 1. Add 1 token to the current total. 2. Double the current total number of tokens. If the player can only make a total of 5 moves, how many different ways ...
106	0.444444	geometry	6	In triangle $ABC$, point $D$ is on side $BC$ such that $BD = 2CD$. Point $E$ is on side $AC$ such that $AE = \frac{2}{3}EC$. The line segment $AD$ intersects the line segment $BE$ at point $F$. If the area of triangle $ABC$ is 18, find the...
107	0.333333	geometry	1	Find all positive integers \( n \) such that there exists a sequence \( a_1, a_2, \ldots, a_n \) of positive integers satisfying the following conditions: 1. \( a_1 = 1 \) and \( a_n = n \), 2. For each \( k = 1, 2, \ldots, n-1 \), \( a_{k...
108	0.333333	number_theory	2023	Let \( f(x) \) be a polynomial with integer coefficients such that \( f(1) = 2024 \) and \( f(2024) = 1 \). Determine the largest possible value of \( |f(2023)| \).
109	0.666667	algebra	2	In the complex plane, let \( z \) be a root of the equation \[ z^{10} - z^6 + z^2 - 1 = 0 \] which satisfies \( \operatorname{Re}(z) > 0 \) and \( \operatorname{Im}(z) > 0 \). Find the value of \( \left| z^4 + z^{-4} \right| \).
110	0.666667	number_theory	1	Find all positive integers \( n \) such that \( n^3 + n^2 + n + 1 \) divides \( 3n^3 + 2n^2 + 3n + 2 \).
111	0.444444	geometry	2^{67}	In a small town, there are 100 houses arranged in a circle. Each house is painted one of three colors: red, blue, or green. The town council decides that no two adjacent houses can have the same color. Moreover, every third house, starting...
112	0.555556	algebra	2	Let \( f(x) \) be a polynomial with real coefficients such that \( f(x) \) has a degree of \( 4 \) and satisfies the equation \( f(x) = f(2 - x) \) for all real numbers \( x \). Given that \( f(x) \) has a root at \( x = 1 \), determine th...
113	0.444444	number_theory	(0, 0, 0)	Find all triples of integers \((a, b, c)\) such that \(a^2 + b^2 + c^2 = ab + bc + ca + 1\), and each of \(a\), \(b\), and \(c\) is a multiple of 7.
114	0.333333	number_theory	2	Let \( P(x) \) be a polynomial of degree 5 with integer coefficients such that \( P(1) = 2 \) and \( P(2) = 3 \). Additionally, suppose that \( P(x) \) has exactly one real root and this root is an irrational number. Determine the number o...
115	0.444444	other	4	泰迪熊小镇的街道呈正方形网格布局，每个街区的边长均为一英里。泰迪需要从家出发，经过至少两个不同的街区，回家。泰迪最多可以走多少英里才能回到家中？
116	0.333333	geometry	1	Find all positive integers \( n \) such that \( n \) divides the sum of the squares of the first \( n \) natural numbers. That is, find all \( n \) such that \( n \mid (1^2 + 2^2 + \cdots + n^2) \).
117	0.777778	geometry	1	A sequence of positive integers \( a_1, a_2, a_3, \ldots \) is defined recursively by: \[ a_{n+1} = a_n^2 - a_{n-1}^2 + n^2 \] for \( n \geq 2 \), with initial conditions \( a_1 = 1 \) and \( a_2 = 2 \). Determine the smallest positive int...
118	0.333333	geometry	\frac{\sqrt{3}}{2}	Let \( ABC \) be an equilateral triangle with side length 1. Points \( D \) and \( E \) are chosen on sides \( AB \) and \( AC \) respectively such that \( AD = AE \). The line through \( D \) perpendicular to \( AB \) intersects the line ...
119	0.666667	number_theory	10	A finite sequence of positive integers starts with a 1 and ends with a 2. The sequence has the property that every number except the first one is the sum of the preceding number and the number that follows it. For instance, a sequence coul...
120	0.555556	number_theory	541	Consider a sequence of positive integers where each term after the first two is the smallest integer greater than the previous term that is relatively prime to all the preceding terms. What is the 100th term of this sequence?
121	0.555556	geometry	999	Let \( S \) be the set of all positive integers. Consider a function \( f: S \to S \) defined by the rule: \[ f(n) = n^2 + 2n + 1. \] Define \( T \) as the set of all \( n \in S \) such that \( f(n) \) is a perfect square. Find the number ...
122	0.333333	number_theory	3	Find all positive integers \( n \) such that the polynomial \( P(x) = x^n + x^{n-1} + \cdots + x + 1 \) can be written as the product of two non-constant polynomials with integer coefficients.
123	0.777778	geometry	\frac{n(n-1)(n-2)}{6}	In the plane, consider a set of \( n \) distinct points \( P_1, P_2, \ldots, P_n \), where no three points are collinear. Define a "triangular region" as the interior of a triangle formed by three of these points. What is the maximum possi...
124	0.666667	number_theory	102	Let \( S \) be the set of all positive integers that can be expressed as the sum of three distinct positive integers, each of which is a prime number. If \( n \) is the smallest element in \( S \) that is greater than 100, find \( n \) and...
125	0.333333	geometry	\dfrac{56}{5}	In a circle with center \(O\), let \(AB\) and \(CD\) be two chords intersecting at a point \(P\) inside the circle. Suppose \(AP = 3\), \(BP = 7\), and \(CP = 5\). If \(DP\) is extended to meet the circle again at \(Q\), find the length of...
126	0.555556	number_theory	2045253	Let \( f: \mathbb{Z} \rightarrow \mathbb{Z} \) be a function satisfying the following properties for all integers \( n \): 1. \( f(n) + f(n+1) = n^2 \) 2. \( f(n) + f(n+2) = (n+1)^2 \) 3. \( f(0) = 0 \) Find \( f(2023) \).
127	0.666667	algebra	1	Let \( f(x) \) be a function defined on the interval \([0,1]\) such that for all \( x \in [0,1] \), the following inequality holds: \[ f(x)^2 + f(1-x) \geq 1. \] Determine the maximum possible value of \( \int_0^1 f(x) \, dx \).
128	0.555556	number_theory	100	What is the minimum possible value of the expression \(a^2 + ab + b^2\) for integers \(a\) and \(b\) such that \(|a| + |b| = 20\)?
129	0.555556	number_theory	p - 1	Let $p$ be a prime number greater than 3. Define $a_n = p^{n+1} - p^n$ for all $n \geq 1$. Prove that for all $n$, the sum of the digits of $a_n$ is a multiple of $p-1$.
130	0.555556	geometry	448	Let $S$ be the set of all positive integers $n$ such that $n^2 + 12n - 2007$ is a perfect square. Find the sum of all elements in $S$ that are less than 1000.
131	0.444444	number_theory	2	A sequence of positive integers \(a_1, a_2, a_3, \ldots\) is defined by the following rules: 1. \(a_1 = 1\) 2. For \(n \geq 1\), \(a_{n+1} = a_n^2 + 2\) Find the number of positive divisors of \(a_{2024}\).
